,salary,pcsalary,sales,roe,pcroe,ros,indus,finance,consprod,utility,lsalary,lsales
31,1024,-3,8169,14.2,-36.2,-10,1,0,0,0,6.931472,9.008101
32,1593,18,20659,14.9,410.3,16,1,0,0,0,7.373374,9.935906
33,427,27,3072.1,12.4,-17.7,61,1,0,0,0,6.056784,8.030117
34,829,5,1669.1,17.1,-39.3,64,1,0,0,0,6.72022,7.42004
35,797,-3,2401.2,16.9,6,39,1,0,0,0,6.680855,7.783724
36,577,23,3043.6,18.1,-13.5,1,1,0,0,0,6.357842,8.020797
37,1342,7,6222.2,10.9,-6,59,1,0,0,0,7.201916,8.735879
38,1774,0,7727.9,19.3,15.3,19,1,0,0,0,7.480992,8.952593
39,709,11,719.5,18.3,4.6,65,1,0,0,0,6.563856,6.578557
40,860,28,3921.3,18.4,34.7,45,1,0,0,0,6.756932,8.274179
41,1336,20,5155.1,13.8,1.7,7,1,0,0,0,7.197435,8.547742
42,516,-2,649.2,13.7,-10.3,27,1,0,0,0,6.246107,6.475741
43,931,20,10885,12.7,14.5,10,1,0,0,0,6.836259,9.295141
44,815,12,1651.9,15.1,-2.4,33,1,0,0,0,6.703188,7.409681
45,1681,20,12915,16.5,-66.7,29,1,0,0,0,7.427144,9.466145
46,568,-36,11436,10.2,-48.3,-19,1,0,0,0,6.342122,9.344522
47,775,7,2210.3,19.6,18.9,34,1,0,0,0,6.652863,7.700883
48,1188,9,3737.8,12.8,32.5,15,1,0,0,0,7.080027,8.226253
49,782,-1,1976.7,15.9,-0.6,24,1,0,0,0,6.661855,7.589184
50,1170,0,2576,17.3,-39.1,93,1,0,0,0,7.064759,7.853993
51,1469,8,6309.1,8.5,93.9,79,1,0,0,0,7.292337,8.749748
52,916,-1,2940.5,16.4,25.8,105,1,0,0,0,6.820016,7.986335
53,1070,-9,1072.6,19.5,34.8,269,1,0,0,0,6.975414,6.977841
54,894,1,1534,19.2,-3.7,74,1,0,0,0,6.795706,7.335634
55,829,-4,2158.8,15.9,-27.6,-18,1,0,0,0,6.72022,7.677308
56,780,17,1736,19.9,50.7,23,1,0,0,0,6.659294,7.459339
57,2327,10,3598.8,28.1,-28.3,104,1,0,0,0,7.752335,8.188355
58,717,20,1413.6,25,-15.8,56,1,0,0,0,6.575076,7.253895
59,1368,9,13538,15,-8.8,-43,1,0,0,0,7.221105,9.513256
60,2028,185,69018,12.6,2.3,10,1,0,0,0,7.614805,11.14212
61,1195,2,6285,20.3,6.3,49,1,0,0,0,7.085901,8.745921
62,256,19,526.3,22.7,24.7,175,1,0,0,0,5.545177,6.265872
63,775,-10,3195.6,14.8,-32.6,12,1,0,0,0,6.652863,8.06953
64,1407,80,2762.8,13.2,-17.4,28,1,0,0,0,7.249215,7.924
65,543,14,1873.1,10.3,-45,-58,1,0,0,0,6.297109,7.53535
66,874,-10,4648.1,17.7,-13.9,-6,1,0,0,0,6.77308,8.444214
67,1287,-3,16951,10,-1,-21,1,0,0,0,7.160069,9.738082
68,1248,16,3506.9,15.6,5,54,0,1,0,0,7.129298,8.162488
69,875,-19,5333.1,6.8,27.6,-8,0,1,0,0,6.774224,8.581688
70,925,-3,3296.2,12.4,-56.9,-21,0,1,0,0,6.829794,8.100526
71,798,-6,2584,13.1,-50.5,10,0,1,0,0,6.682108,7.857094
72,760,14,834.4,15.8,3,55,0,1,0,0,6.633318,6.726713
73,600,-41,4068.7,12.8,-32,-6,0,1,0,0,6.39693,8.311079
74,991,18,2518.6,15.3,13.3,65,0,1,0,0,6.898715,7.831459
75,1570,14,10465,0.5,977,36,0,1,0,0,7.358831,9.255792
76,911,1,2682.4,16.5,31.5,23,0,1,0,0,6.814543,7.894467
77,1360,12,2688.2,15.1,23,67,0,1,0,0,7.21524,7.896627
78,700,-53,6682.3,13,5.8,53,0,1,0,0,6.55108,8.807218
79,741,-50,4879.9,11.1,-77.7,-26,0,1,0,0,6.608001,8.49288
80,1097,143,2772.1,8.9,595.6,20,0,1,0,0,7.000334,7.927361
81,953,15,1320.4,17.5,-4.3,83,0,1,0,0,6.859615,7.18569
82,441,-7,3408.5,15.9,-10,37,0,1,0,0,6.089045,8.134027
83,595,18,1919.7,14.2,31.4,61,0,1,0,0,6.388561,7.559924
84,1067,1,19020.5,9.3,-37.8,4,0,1,0,0,6.972606,9.853272
85,1298,3,4778.3,9.5,-26.7,-2,0,1,0,0,7.16858,8.47184
86,1798,-31,24332,15.5,-59.5,2,0,1,0,0,7.49443,10.09955
87,4143,-10,2678.4,14.4,-12.8,42,0,1,0,0,8.329175,7.892975
88,1336,8,4481,11.1,10.8,15,0,1,0,0,7.197435,8.407601
89,1750,11,14932.1,15.9,-7.8,62,0,1,0,0,7.467371,9.611268
90,912,15,2626.4,16.4,0.3,70,0,1,0,0,6.81564,7.873369
91,1892,-16,2659.5,8.6,-1.4,126,0,1,0,0,7.54539,7.885893
92,833,19,1073.2,24.6,14.4,51,0,1,0,0,6.725034,6.9784
93,1142,-12,2577.3,15.4,-22.4,56,0,1,0,0,7.040536,7.854497
94,1159,13,4293.8,16.9,2.6,107,0,1,0,0,7.055313,8.364927
95,1283,16,18164,7.2,-47.3,14,0,1,0,0,7.156956,9.807197
96,2109,42,9944.4,11.6,-42.2,23,0,1,0,0,7.653969,9.204765
97,1039,-21,12719,26.4,43.4,264,0,1,0,0,6.946014,9.450852
98,992,42,1931.6,21.4,-9.2,52,0,1,0,0,6.899723,7.566104
99,1253,4,2993.2,19.2,1.9,74,0,1,0,0,7.133296,8.004098
100,721,9,2127.2,15.1,-22.3,101,0,1,0,0,6.580639,7.662562
