,salary,pcsalary,sales,roe,pcroe,ros,indus,finance,consprod,utility,lsalary,lsales
172,1226,53,1728.9,26.9,-7.1,84,0,0,1,0,7.111512,7.455241
173,543,112,2669.3,30.5,24.9,323,0,0,1,0,6.297109,7.889572
174,14822,1,2159.2,19.4,-37.3,17,0,0,1,0,9.603868,7.677493
175,890,-18,2612.6,15.6,-49,-14,0,0,1,0,6.791222,7.868101
176,1627,6,8270.3,19.4,-3.7,104,0,0,1,0,7.394493,9.020426
177,2408,28,44323,29.1,9.8,160,0,0,1,0,7.786552,10.69926
178,2248,6,764.7,40.8,44.4,191,0,0,1,0,7.717796,6.639483
179,787,20,5167.5,13.7,-4,34,0,0,0,1,6.668228,8.550144
180,474,-5,2159.3,11.1,-58.2,16,0,0,0,1,6.161207,7.677539
181,439,7,2617.1,10.8,-16.1,65,0,0,0,1,6.084499,7.869822
182,465,11,2367.7,5.1,-25,43,0,0,0,1,6.142037,7.769674
183,594,33,2744,12.3,-12.2,76,0,0,0,1,6.386879,7.917172
184,688,-6,2357.9,7.4,-9.7,33,0,0,0,1,6.533789,7.765527
185,607,12,5262,6.2,-94.8,59,0,0,0,1,6.408529,8.568267
186,634,44,5738.9,12.7,-7,38,0,0,0,1,6.452049,8.655023
187,532,2,2714.9,10.6,-21.2,35,0,0,0,1,6.276643,7.90651
188,441,39,3306.7,7.4,13,150,0,0,0,1,6.089045,8.103706
189,694,18,3532.5,12.6,-13.8,37,0,0,0,1,6.542472,8.169761
190,520,-6,3681.5,12.8,-7.7,64,0,0,0,1,6.253829,8.211076
191,757,12,3982.1,2.9,45.4,197,0,0,0,1,6.629363,8.289565
192,668,30,2996,13.5,-3.3,81,0,0,0,1,6.504288,8.005033
193,803,18,4178.6,10.7,-29.9,52,0,0,0,1,6.688354,8.337731
194,500,3,2616.3,11.9,-1.3,25,0,0,0,1,6.214608,7.869516
195,552,-5,2064.5,12.9,-16.8,37,0,0,0,1,6.313548,7.632643
196,412,-5,2225.5,10.1,-27.4,13,0,0,0,1,6.021023,7.707737
197,1100,58,9470.1,7.3,76.6,82,0,0,0,1,7.003066,9.155894
198,959,26,3783.2,14.6,5,65,0,0,0,1,6.865891,8.238325
199,333,34,2388.7,13.8,6.5,59,0,0,0,1,5.808143,7.778504
200,503,-19,3705.2,8.9,-96.8,29,0,0,0,1,6.22059,8.217492
201,448,-8,1411.7,14,-33.5,14,0,0,0,1,6.104793,7.25255
202,732,7,4800.1,12.9,-11.2,36,0,0,0,1,6.59578,8.476392
203,720,8,1771.9,14.5,13.6,78,0,0,0,1,6.579251,7.479808
204,808,-16,7198.5,14.7,7.4,49,0,0,0,1,6.694562,8.881628
205,930,10,1509.1,9,20.5,131,0,0,0,1,6.835185,7.319269
206,525,3,1097.1,15.5,20.1,72,0,0,0,1,6.263398,7.000426
207,658,32,4542.6,12.1,-7.8,68,0,0,0,1,6.489205,8.421255
208,555,6,2023,13.7,-14.6,60,0,0,0,1,6.318968,7.612337
209,626,0,1442.5,14.4,-10.2,62,0,0,0,1,6.439351,7.274133
